ensgene	entrez	symbol	chr	start	end	strand	biotype	description
ENSG00000001626	1080	CFTR	7	117105838	117356025	1	protein_coding	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]
ENSG00000001629	54467	ANKIB1	7	91875548	92030698	1	protein_coding	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:22215]
ENSG00000001630	1595	CYP51A1	7	91741465	91772266	-1	protein_coding	cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]
ENSG00000001631	889	KRIT1	7	91828283	91875480	-1	protein_coding	KRIT1, ankyrin repeat containing [Source:HGNC Symbol;Acc:1573]
ENSG00000002016	5893	RAD52	12	1021243	1099219	-1	protein_coding	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]
ENSG00000002330	572	BAD	11	64037302	64052176	-1	protein_coding	BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]
ENSG00000002549	51056	LAP3	4	17578815	17609595	1	protein_coding	leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449]
ENSG00000002586	4267	CD99	X	2609220	2659350	1	protein_coding	CD99 molecule [Source:HGNC Symbol;Acc:7082]
ENSG00000002587	9957	HS3ST1	4	11394774	11431389	-1	protein_coding	heparan sulfate (glucosamine) 3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5194]
ENSG00000002726	26	AOC1	7	150521715	150558592	1	protein_coding	amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:80]
ENSG00000002745	51384	WNT16	7	120965421	120981158	1	protein_coding	wingless-type MMTV integration site family, member 16 [Source:HGNC Symbol;Acc:16267]
ENSG00000002746	23072	HECW1	7	43152198	43605600	1	protein_coding	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:22195]
ENSG00000002822	8379	MAD1L1	7	1855429	2272878	-1	protein_coding	MAD1 mitotic arrest deficient-like 1 (yeast) [Source:HGNC Symbol;Acc:6762]
ENSG00000002834	3927	LASP1	17	37026112	37078023	1	protein_coding	LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:6513]
ENSG00000002919	29916	SNX11	17	46180719	46200436	1	protein_coding	sorting nexin 11 [Source:HGNC Symbol;Acc:14975]
ENSG00000002933	55365	TMEM176A	7	150497491	150502208	1	protein_coding	transmembrane protein 176A [Source:HGNC Symbol;Acc:24930]
ENSG00000003056	4074	M6PR	12	9092959	9102551	-1	protein_coding	mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]
ENSG00000003096	90293	KLHL13	X	117031776	117251303	-1	protein_coding	kelch-like family member 13 [Source:HGNC Symbol;Acc:22931]
ENSG00000003137	56603	CYP26B1	2	72356367	72375167	-1	protein_coding	cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]
ENSG00000003147	3382	ICA1	7	8152814	8302317	-1	protein_coding	islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]
ENSG00000003249	79007	DBNDD1	16	90071273	90086536	-1	protein_coding	dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]
ENSG00000003393	57679	ALS2	2	202565277	202645912	-1	protein_coding	amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]
ENSG00000003400	843	CASP10	2	202047604	202094129	1	protein_coding	caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]
ENSG00000003402	8837	CFLAR	2	201980827	202041410	1	protein_coding	CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]
ENSG00000003436	7035	TFPI	2	188328957	188430487	-1	protein_coding	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]
ENSG00000003509	55471	NDUFAF7	2	37458774	37480546	1	protein_coding	NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:28816]
ENSG00000003756	10181	RBM5	3	50126341	50156454	1	protein_coding	RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]
ENSG00000003987	9108	MTMR7	8	17155539	17271037	-1	protein_coding	myotubularin related protein 7 [Source:HGNC Symbol;Acc:7454]
ENSG00000003989	6542	SLC7A2	8	17354597	17428082	1	protein_coding	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]
ENSG00000004059	381	ARF5	7	127228399	127231759	1	protein_coding	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]
ENSG00000004139	23098	SARM1	17	26691378	26728065	1	protein_coding	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]
ENSG00000004142	26073	POLDIP2	17	26673659	26684545	-1	protein_coding	polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:23781]
ENSG00000004399	23129	PLXND1	3	129274018	129325661	-1	protein_coding	plexin D1 [Source:HGNC Symbol;Acc:9107]
ENSG00000004455	204	AK2	1	33473585	33546597	-1	protein_coding	adenylate kinase 2 [Source:HGNC Symbol;Acc:362]
ENSG00000004468	952	CD38	4	15779898	15854853	1	protein_coding	CD38 molecule [Source:HGNC Symbol;Acc:1667]
ENSG00000004478	2288	FKBP4	12	2904119	2914576	1	protein_coding	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]
ENSG00000004487	23028	KDM1A	1	23345941	23410182	1	protein_coding	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]
ENSG00000004534	10180	RBM6	3	49977440	50137478	1	protein_coding	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]
ENSG00000004660	84254	CAMKK1	17	3763609	3798185	-1	protein_coding	calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]
ENSG00000004700	5965	RECQL	12	21621845	21654603	-1	protein_coding	RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]
ENSG00000004766	55610	CCDC132	7	92861653	92988338	1	protein_coding	coiled-coil domain containing 132 [Source:HGNC Symbol;Acc:25956]
ENSG00000004776	126393	HSPB6	19	36245469	36248980	-1	protein_coding	heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:26511]
ENSG00000004777	115703	ARHGAP33	19	36265434	36279724	1	protein_coding	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]
ENSG00000004779	4706	NDUFAB1	16	23592323	23607677	-1	protein_coding	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]
ENSG00000004799	5166	PDK4	7	95212811	95225803	-1	protein_coding	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]
ENSG00000004809	85413	SLC22A16	6	110745890	110797844	-1	protein_coding	solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]
ENSG00000004838	51364	ZMYND10	3	50378541	50384283	-1	protein_coding	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]
ENSG00000004846	340273	ABCB5	7	20654830	20816658	1	protein_coding	ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]
ENSG00000004848	170302	ARX	X	25021811	25034065	-1	protein_coding	aristaless related homeobox [Source:HGNC Symbol;Acc:18060]
ENSG00000004864	10165	SLC25A13	7	95749532	95951459	-1	protein_coding	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]
ENSG00000004866	102466616	ST7	7	116593292	116870157	1	protein_coding	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]
ENSG00000004866	93655	ST7	7	116593292	116870157	1	protein_coding	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]
ENSG00000004866	7982	ST7	7	116593292	116870157	1	protein_coding	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]
ENSG00000004897	996	CDC27	17	45195069	45266788	-1	protein_coding	cell division cycle 27 [Source:HGNC Symbol;Acc:1728]
ENSG00000004939	6521	SLC4A1	17	42325753	42345509	-1	protein_coding	solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:11027]
ENSG00000004948	799	CALCR	7	93053799	93204042	-1	protein_coding	calcitonin receptor [Source:HGNC Symbol;Acc:1440]
ENSG00000004961	3052	HCCS	X	11129421	11141198	1	protein_coding	holocytochrome c synthase [Source:HGNC Symbol;Acc:4837]
ENSG00000004975	1856	DVL2	17	7128660	7137864	-1	protein_coding	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:3086]
ENSG00000005001	64063	PRSS22	16	2902728	2908171	-1	protein_coding	protease, serine, 22 [Source:HGNC Symbol;Acc:14368]
ENSG00000005007	5976	UPF1	19	18942747	18979045	1	protein_coding	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]
ENSG00000005020	8935	SKAP2	7	26706681	27034858	-1	protein_coding	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]
ENSG00000005022	292	SLC25A5	X	118602363	118605282	1	protein_coding	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:10991]
ENSG00000005059	55013	CCDC109B	4	110481361	110609874	1	protein_coding	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]
ENSG00000005073	3207	HOXA11	7	27221129	27224842	-1	protein_coding	homeobox A11 [Source:HGNC Symbol;Acc:5101]
ENSG00000005075	5439	POLR2J	7	102113565	102119354	-1	protein_coding	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]
ENSG00000005100	56919	DHX33	17	5344232	5372380	-1	protein_coding	DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:16718]
ENSG00000005102	4222	MEOX1	17	41717756	41739322	-1	protein_coding	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:7013]
ENSG00000005108	221981	THSD7A	7	11409984	11871824	-1	protein_coding	thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:22207]
ENSG00000005156	3980	LIG3	17	33307513	33332083	1	protein_coding	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6600]
ENSG00000005175	79657	RPAP3	12	48057070	48099844	-1	protein_coding	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]
ENSG00000005187	6296	ACSM3	16	20621565	20808903	1	protein_coding	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:10522]
ENSG00000005189	81691	AC004381.6	16	20817751	20860987	1	protein_coding	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]
ENSG00000005194	57019	CIAPIN1	16	57462081	57481440	-1	protein_coding	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]
ENSG00000005238	80256	FAM214B	9	35104109	35116338	-1	protein_coding	family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:25666]
ENSG00000005243	51226	COPZ2	17	46103533	46115392	-1	protein_coding	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:19356]
ENSG00000005249	5577	PRKAR2B	7	106685094	106802256	1	protein_coding	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]
ENSG00000005302	10943	MSL3	X	11776278	11793870	1	protein_coding	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:7370]
ENSG00000005339	1387	CREBBP	16	3775055	3930727	-1	protein_coding	CREB binding protein [Source:HGNC Symbol;Acc:2348]
ENSG00000005379	9256	BZRAP1	17	56378592	56406152	-1	protein_coding	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]
ENSG00000005381	4353	MPO	17	56347217	56358296	-1	protein_coding	myeloperoxidase [Source:HGNC Symbol;Acc:7218]
ENSG00000005421	5444	PON1	7	94926988	95025673	-1	protein_coding	paraoxonase 1 [Source:HGNC Symbol;Acc:9204]
ENSG00000005436	6936	GCFC2	2	75879126	75938115	-1	protein_coding	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:1317]
ENSG00000005448	84058	WDR54	2	74648805	74652882	1	protein_coding	WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]
ENSG00000005469	54677	CROT	7	86974997	87029111	1	protein_coding	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]
ENSG00000005471	5244	ABCB4	7	87031013	87109751	-1	protein_coding	ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]
ENSG00000005483	55904	KMT2E	7	104654626	104754808	1	protein_coding	lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:18541]
ENSG00000005486	57414	RHBDD2	7	75471920	75518244	1	protein_coding	rhomboid domain containing 2 [Source:HGNC Symbol;Acc:23082]
ENSG00000005513	30812	SOX8	16	1031808	1036979	1	protein_coding	SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:11203]
ENSG00000005700	25998	IBTK	6	82879700	82957471	-1	protein_coding	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:17853]
ENSG00000005801	7748	ZNF195	11	3360491	3400448	-1	protein_coding	zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]
ENSG00000005810	23077	MYCBP2	13	77618792	77901185	-1	protein_coding	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]
ENSG00000005812	26224	FBXL3	13	77566740	77601330	-1	protein_coding	F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:13599]
ENSG00000005844	3683	ITGAL	16	30483979	30534506	1	protein_coding	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]
ENSG00000005882	5164	PDK2	17	48172101	48189516	1	protein_coding	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]
ENSG00000005884	3675	ITGA3	17	48133332	48167845	1	protein_coding	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]
ENSG00000005889	7543	ZFX	X	24167290	24234372	1	protein_coding	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:12869]
ENSG00000005893	3920	LAMP2	X	119561682	119603220	-1	protein_coding	lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:6501]
ENSG00000005955	79893	GGNBP2	17	34900737	34946278	1	protein_coding	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:19357]
ENSG00000005961	3674	ITGA2B	17	42449548	42466873	-1	protein_coding	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]
ENSG00000005981	51666	ASB4	7	95107756	95169544	1	protein_coding	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]
ENSG00000006007	51573	GDE1	16	19513015	19533467	-1	protein_coding	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]
ENSG00000006015	55049	C19orf60	19	18699495	18703146	1	protein_coding	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]
ENSG00000006016	9244	CRLF1	19	18683030	18718551	-1	protein_coding	cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:2364]
ENSG00000006025	114881	OSBPL7	17	45884738	45899200	-1	protein_coding	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]
ENSG00000006042	26022	TMEM98	17	31254928	31272124	1	protein_coding	transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]
ENSG00000006047	51087	YBX2	17	7191571	7197934	-1	protein_coding	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]
ENSG00000006059	3883	KRT33A	17	39502344	39507064	-1	protein_coding	keratin 33A [Source:HGNC Symbol;Acc:6450]
ENSG00000006071	6833	ABCC8	11	17414432	17498449	-1	protein_coding	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]
ENSG00000006074	6362	CCL18	17	34391640	34399392	1	protein_coding	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) [Source:HGNC Symbol;Acc:10616]
ENSG00000006075	6348	CCL3	17	34415602	34417515	-1	protein_coding	chemokine (C-C motif) ligand 3 [Source:HGNC Symbol;Acc:10627]
ENSG00000006114	11276	SYNRG	17	35874900	35969544	-1	protein_coding	synergin, gamma [Source:HGNC Symbol;Acc:557]
ENSG00000006116	10368	CACNG3	16	24266874	24374122	1	protein_coding	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]
ENSG00000006118	54972	TMEM132A	11	60691935	60704631	1	protein_coding	transmembrane protein 132A [Source:HGNC Symbol;Acc:31092]
ENSG00000006125	163	AP2B1	17	33905065	34053436	1	protein_coding	adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]
ENSG00000006128	6863	TAC1	7	97361220	97369784	1	protein_coding	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]
ENSG00000006194	283876	ZNF263	16	3313743	3351401	1	protein_coding	zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]
ENSG00000006194	10127	ZNF263	16	3313743	3351401	1	protein_coding	zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]
ENSG00000006210	6376	CX3CL1	16	57406370	57418960	1	protein_coding	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]
ENSG00000006282	64847	SPATA20	17	48620419	48633213	1	protein_coding	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]
ENSG00000006283	8913	CACNA1G	17	48638429	48704835	1	protein_coding	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]
ENSG00000006327	51330	TNFRSF12A	16	3068446	3072384	1	protein_coding	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]
ENSG00000006377	1750	DLX6	7	96634860	96640351	1	protein_coding	distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]
ENSG00000006432	4293	MAP3K9	14	71189243	71276251	-1	protein_coding	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861]
ENSG00000006451	5898	RALA	7	39663082	39747723	1	protein_coding	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]
ENSG00000006453	55971	BAIAP2L1	7	97920963	98030380	-1	protein_coding	BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]
ENSG00000006459	80853	KDM7A	7	139784546	139876835	-1	protein_coding	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]
ENSG00000006468	2115	ETV1	7	13930853	14031050	-1	protein_coding	ets variant 1 [Source:HGNC Symbol;Acc:3490]
ENSG00000006530	55750	AGK	7	141250989	141355044	1	protein_coding	acylglycerol kinase [Source:HGNC Symbol;Acc:21869]
ENSG00000006534	221	ALDH3B1	11	67776048	67796744	1	protein_coding	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]
ENSG00000006555	55001	TTC22	1	55245385	55266940	-1	protein_coding	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]
ENSG00000006576	57157	PHTF2	7	77428122	77586818	1	protein_coding	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:13411]
ENSG00000006606	10344	CCL26	7	75398851	75419214	-1	protein_coding	chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]
ENSG00000006607	9855	FARP2	2	242295658	242434256	1	protein_coding	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]
ENSG00000006611	10083	USH1C	11	17515442	17565963	-1	protein_coding	Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]
ENSG00000006625	79017	GGCT	7	30536237	30591095	-1	protein_coding	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:21705]
ENSG00000006634	10926	DBF4	7	87505531	87538856	1	protein_coding	DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]
ENSG00000006638	6915	TBXA2R	19	3594504	3606838	-1	protein_coding	thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]
ENSG00000006652	3475	IFRD1	7	112063023	112121072	1	protein_coding	interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]
ENSG00000006659	56891	LGALS14	19	40194946	40200084	1	protein_coding	lectin, galactoside-binding, soluble, 14 [Source:HGNC Symbol;Acc:30054]
ENSG00000006695	1352	COX10	17	13972813	14111994	1	protein_coding	cytochrome c oxidase assembly homolog 10 (yeast) [Source:HGNC Symbol;Acc:2260]
ENSG00000006704	9569	GTF2IRD1	7	73868120	74016931	1	protein_coding	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:4661]
ENSG00000006712	54623	PAF1	19	39876492	39881835	-1	protein_coding	Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25459]
ENSG00000006715	27072	VPS41	7	38762563	38971994	-1	protein_coding	vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:12713]
ENSG00000006740	9912	ARHGAP44	17	12692856	12894960	1	protein_coding	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]
ENSG00000006744	60528	ELAC2	17	12895708	12921504	-1	protein_coding	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]
ENSG00000006747	85477	SCIN	7	12610203	12693228	1	protein_coding	scinderin [Source:HGNC Symbol;Acc:21695]
ENSG00000006756	414	ARSD	X	2822011	2847392	-1	protein_coding	arylsulfatase D [Source:HGNC Symbol;Acc:717]
ENSG00000006757	8228	PNPLA4	X	7866288	7895780	-1	protein_coding	patatin-like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:24887]
ENSG00000006788	8735	MYH13	17	10201401	10276447	-1	protein_coding	myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:7571]
ENSG00000006831	79602	ADIPOR2	12	1797740	1897844	1	protein_coding	adiponectin receptor 2 [Source:HGNC Symbol;Acc:24041]
ENSG00000006837	51265	CDKL3	5	133541305	133706738	-1	protein_coding	cyclin-dependent kinase-like 3 [Source:HGNC Symbol;Acc:15483]
ENSG00000007001	151531	UPP2	2	158733214	158992666	1	protein_coding	uridine phosphorylase 2 [Source:HGNC Symbol;Acc:23061]
ENSG00000007038	10942	PRSS21	16	2867164	2876305	1	protein_coding	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]
ENSG00000007047	57787	MARK4	19	45582546	45808541	1	protein_coding	MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]
ENSG00000007062	8842	PROM1	4	15964699	16086001	-1	protein_coding	prominin 1 [Source:HGNC Symbol;Acc:9454]
ENSG00000007080	115098	CCDC124	19	18043825	18054800	1	protein_coding	coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:25171]
ENSG00000007129	90273	CEACAM21	19	42055886	42093197	1	protein_coding	carcinoembryonic antigen-related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:28834]
ENSG00000007168	5048	PAFAH1B1	17	2496504	2588909	1	protein_coding	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:8574]
ENSG00000007171	4843	NOS2	17	26083792	26127525	-1	protein_coding	nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]
ENSG00000007174	1770	DNAH9	17	11501748	11873065	1	protein_coding	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]
ENSG00000007202	9703	KIAA0100	17	26941458	26972472	-1	protein_coding	KIAA0100 [Source:HGNC Symbol;Acc:28960]
ENSG00000007216	9058	SLC13A2	17	26800311	26824799	1	protein_coding	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]
ENSG00000007237	8522	GAS7	17	9813926	10101868	-1	protein_coding	growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]
ENSG00000007255	79090	TRAPPC6A	19	45666186	45681495	-1	protein_coding	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]
ENSG00000007264	4145	MATK	19	3777971	3802127	-1	protein_coding	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:6906]
ENSG00000007306	1087	CEACAM7	19	42177235	42210895	-1	protein_coding	carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:1819]
ENSG00000007312	974	CD79B	17	62006100	62009714	-1	protein_coding	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]
ENSG00000007314	6329	SCN4A	17	62015914	62050278	-1	protein_coding	sodium channel, voltage-gated, type IV, alpha subunit [Source:HGNC Symbol;Acc:10591]
ENSG00000007341	54879	ST7L	1	113066140	113163447	-1	protein_coding	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]
ENSG00000007350	8277	TKTL1	X	153524024	153558700	1	protein_coding	transketolase-like 1 [Source:HGNC Symbol;Acc:11835]
